"","status","data.id","data.general.name","data.general.group","data.general.personalityTraits","data.general.shortDescription","data.general.longDescription","data.general.popularity","data.general.height","data.general.weight","data.general.lifespan","data.general.rare","data.physical.size","data.physical.lifespan","data.physical.droolingFrequency","data.physical.coatStyle","data.physical.coatTexture","data.physical.coatLength","data.physical.doubleCoat","data.behavior.familyAffection","data.behavior.childFriendly","data.behavior.dogSociability","data.behavior.friendlinessToStrangers","data.behavior.playfulness","data.behavior.protectiveInstincts","data.behavior.adaptability","data.behavior.barkingFrequency","data.care.sheddingAmount","data.care.groomingFrequency","data.care.exerciseNeeds","data.care.mentalStimulationNeeds","data.care.trainingDifficulty","data.images.small.indoors","data.images.small.outdoors","data.images.small.studio","data.images.large.indoors","data.images.large.outdoors","data.images.large.studio"
"1","success","chihuahua","Chihuahua","Companion","Companionable, Dignified, Lively","The Chihuahua is a tiny, vivacious companion with a huge personality and captivating charm.","The Chihuahua is a tiny dog with a huge personality, making it an ideal companion for those who appreciate a vivacious and captivating pet. Weighing around 5 pounds and standing at 7 inches tall, this elegant breed is renowned for its expressive, luminous eyes and characteristic 'apple' head. Chihuahuas are highly loyal and exude a big-dog attitude despite their small size, often displaying a protective instinct that belies their stature.
They are adaptable and thrive in city environments, enjoying quality time on their owner's lap. Known for their smooth, straight coats in various colors and patterns, Chihuahuas require minimal grooming but do need training to prevent them from becoming overly dominant. While they are playful and affectionate with their families, their small size makes them unsuitable for rough play with children.
Highly vocal and alert, Chihuahuas make excellent watchdogs, bringing both joy and companionship to any home. With a lifespan of up to 15 years, these dogs are a long-term commitment, offering endless love and amusement to those who embrace their spirited nature.",5,7,5,15,FALSE,1,4,1,"Straight","Smooth",2,FALSE,4,1,3,2,4,4,4,5,2,1,4,3,3,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/chihuahua/large/studio.png"
"2","success","siberian-husky","Siberian Husky","Working","Faithful, Friendly, Playful","The playful and sociable Siberian Husky is a friendly, medium-sized sled dog with striking eyes.","The Siberian Husky, a medium-sized working dog, is known for its playful and sociable nature, making it a beloved family companion. Originating as a sled dog, Huskies possess great endurance and a powerful, effortless gait, ideal for pulling light loads over snowy terrains. Their thick double coat, often straight and rough, requires moderate grooming but sheds significantly, especially during seasonal changes.
With almond-shaped eyes that can be brown, blue, or even one of each, Huskies convey a mischievous yet friendly expression. Standing about 20 inches tall and weighing around 50 pounds, they are agile and nimble-footed, ready for any adventure. Huskies thrive on mental stimulation and vigorous activity, making them perfect for active households.
They are extremely sociable, getting along well with children, strangers, and other dogs. However, their innate friendliness makes them poor watchdogs. Naturally clean with little doggy odor, Huskies are easy to love and hard to resist, capturing hearts with their boundless energy and affectionate demeanor.",5,20,50,13,FALSE,3,3,1,"Straight","Rough",3,TRUE,5,5,5,5,5,1,4,5,4,2,5,4,3,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/siberian-husky/large/studio.png"
"3","success","yorkshire-terrier","Yorkshire Terrier","Companion","Lively, Loving, Playful","Vivacious, loving Yorkshire Terriers boast a silky coat and a feisty terrier spirit.","Beneath the dainty, glossy, floor-length coat of a Yorkshire Terrier beats the heart of a vivacious and loving companion. Weighing no more than seven pounds, these little dynamos are full of personality and charm. Originally bred as ratters in mines and mills, Yorkies have transitioned from working dogs to beloved lapdogs, adored for their vibrant and tenacious nature.
Their crowning glory is their silky coat, often a striking combination of steel blue and rich golden tan, reminiscent of Victorian elegance. Despite their delicate appearance, Yorkshire Terriers are brave, sometimes bossy, and exhibit all the traits of a true terrier. Their adaptability, high activity level, and ease of training make them excellent urban pets, while their affectionate and playful demeanor endears them to families.
Yorkies are hypoallergenic, long-lived, and make excellent watchdogs, offering years of laughter, love, and loyal companionship.",5,8,7,13,FALSE,1,3,1,"Straight","Silky",5,FALSE,5,5,3,5,4,5,5,4,1,5,4,4,2,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/yorkshire-terrier/large/studio.png"
"4","success","french-bulldog","French Bulldog","Companion","Happy, Intelligent, Adaptable","The French Bulldog is a jovial, adaptable, and wise companion with charming bat ears.","The French Bulldog, or Frenchie, is a beloved companion breed known for its distinctive large bat ears and even temperament. Standing about 12 inches tall and weighing around 25 pounds, this small yet muscular dog is a favorite among city dwellers and families alike. Frenchies are renowned for their playful, alert, and adaptable nature.
Their smooth, straight coat requires minimal grooming, and they shed moderately. Despite their compact size, French Bulldogs are filled with personality. They are affectionate with family members, get along well with other animals, and are very sociable with strangers.
Frenchies are also low barkers, making them ideal for apartment living. Their adaptability and ease of training add to their charm, as does their love for mental stimulation and play. French Bulldogs require little outdoor exercise, which suits their laid-back lifestyle perfectly.
Their bright and affectionate demeanor makes them a joy to be around, and their watchdog instincts, though subtle, add to their appeal. Popular worldwide, French Bulldogs effortlessly win hearts with their amusing and companionable nature.",5,12,25,10,FALSE,1,2,3,"Straight","Smooth",1,FALSE,5,5,4,5,5,3,5,1,3,1,3,3,2,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/french-bulldog/large/studio.png"
"5","success","german-shepherd","German Shepherd","Herding","Brave, Confident, Intelligent","The German Shepherd Dog is a wise, brave, and self-assured all-purpose worker.","The German Shepherd Dog, renowned for its wisdom, bravery, and self-assured nature, is a standout in the world of canines. This large, agile, and muscular breed exudes noble character and intelligence, making it a favorite among dog lovers. With a height of up to 26 inches at the shoulder and a weight of around 70 pounds, the German Shepherd's silhouette is marked by smooth, graceful curves and a naturally free-and-easy trot.
Known for its unwavering loyalty and courage, this breed is an exceptional family companion and protector. German Shepherds excel in various roles, from herding and service work to police and military tasks, thanks to their high trainability and eagerness to learn. Their adaptability and activity levels are top-notch, making them suitable for various living environments, as long as they receive ample mental stimulation and exercise.
Despite their readiness to defend loved ones, German Shepherds maintain a gentle demeanor with family members, earning a high family affection level. However, they do exhibit a certain aloofness towards strangers, which contributes to their effectiveness as protectors. Their double coat, which is straight and rough, requires moderate grooming and sheds quite a bit, but this is a small trade-off for the joy and security they bring.
With a lifespan of around 13 years, German Shepherds offer years of loyal companionship and steadfast guardianship.",5,25,70,13,FALSE,3,3,2,"Straight","Rough",3,TRUE,5,5,3,3,4,5,5,3,4,2,5,5,1,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/german-shepherd/large/studio.png"
"6","success","labrador-retriever","Labrador Retriever","Sporting","Friendly, Lively, Loving","Labrador Retrievers are sociable, dynamic, and amicable, making them perfect family companions.","The Labrador Retriever is a sociable and dynamic breed, known for its friendly and outgoing nature. Standing at around 25 inches and weighing approximately 70 pounds, Labs are well-balanced and sturdy dogs. Their smooth, straight double coat, which comes in yellow, black, and chocolate, is complemented by a kind expression and a thick, tapering 'otter tail' that wags with enthusiasm.
Labs are affectionate and bond deeply with their families, excelling as playmates for children and socializing well with other dogs and strangers. These high-spirited companions are full of energy and require plenty of exercise, such as swimming or playing fetch, to stay happy and healthy. Their adaptability and ease of training make them a popular choice for families.
Though they do shed moderately, their grooming needs are relatively low. With a lifespan of around 12 years, Labrador Retrievers bring joy and companionship to many households, earning their spot as one of the favorite dog breeds year after year.",5,25,70,12,FALSE,3,3,2,"Straight","Smooth",1,TRUE,5,5,5,5,5,3,5,3,4,2,5,4,1,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/labrador-retriever/large/studio.png"
"7","success","dachshund","Dachshund","Hound","Curious, Friendly, Lively","The Dachshund is a vivacious, inquisitive, and amicable hound with a distinctive long and low silhouette.","The Dachshund, with its famously long and low silhouette, is a vivacious and inquisitive member of the hound group. These small but bold dogs weigh about 20 pounds and stand around 7 inches tall, boasting an ever-alert expression and a big personality. Dachshunds are celebrated for their iconic appearance, featuring a long-backed body, short legs, and smooth, straight coat.
Available in standard and miniature sizes, they come in various colors and patterns. Their vivacious nature makes them enthusiastic companions, always eager for an adventure despite not being built for strenuous physical activities like long-distance running or leaping. Dachshunds excel as watchdogs with their keen intelligence and protective instincts, often using their loud bark to alert their families.
Known for their independence and bravery, they can be a bit stubborn, yet their endearing personalities and unique looks have captured the hearts of dog lovers worldwide. Highly adaptable, they fit well into family life, forming strong bonds and bringing joy with their playful and friendly demeanor. Discover the charm of the Dachshund, a true icon in the canine world.",5,7,20,15,FALSE,1,4,2,"Straight","Smooth",2,FALSE,5,3,4,4,4,4,4,5,2,2,3,3,2,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/dachshund/large/studio.png"
"8","success","golden-retriever","Golden Retriever","Sporting","Intelligent, Friendly, Faithful","Golden Retrievers are devoted, clever, and friendly companions with a love for life and play.","Golden Retrievers are one of the most beloved breeds, known for their dedication, intelligence, and amicable nature. Originating from Scotland, these medium-sized dogs stand about 25 inches tall and weigh around 65 pounds, boasting a lustrous, wavy coat of gold.
Their friendly, intelligent eyes and broad heads are hallmarks of the breed. Renowned for their work in hunting, fieldwork, guiding the blind, and search-and-rescue missions, Goldens are versatile and hardworking.
At home, they are affectionate family members, scoring a perfect 5 in family affection, child-friendliness, and dog sociability. They are relatively easy to train and adaptable, making them ideal companions for various lifestyles. Despite their protective instincts and moderate size, Golden Retrievers are known for their outgoing and trustworthy nature, making them friendly towards strangers and new situations.
These dogs thrive on mental stimulation and play, enjoying activities like swimming and fetching, which align with their retriever instincts. Their activity level is balanced, requiring regular exercise but not overly demanding. Grooming is manageable with moderate fur shedding and a silky coat that needs occasional brushing.
Golden Retrievers embody a joyous and playful approach to life, maintaining their puppyish charm well into adulthood. Their smooth, powerful gait and feathery, 'merry' tails add to their enchanting presence, making them cherished companions in countless homes.",5,25,65,10,FALSE,3,2,2,"Wavy","Silky",3,TRUE,5,5,5,5,4,3,5,1,4,2,3,4,1,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/golden-retriever/large/studio.png"
"9","success","beagle","Beagle","Hound","Curious, Friendly, Happy","The Beagle is a joyful, inquisitive hound, known for its friendly nature and adorable appearance.","The Beagle, a delightful member of the hound group, is renowned for its joyful and inquisitive personality. Standing at 15 inches and weighing around 25 pounds, these sturdy and solid dogs possess a charming, happy-go-lucky demeanor that endears them to many.
With a lifespan of approximately 13 years, Beagles are known for their sociability and enjoy the company of others, whether it be humans or fellow canines. Their smooth, straight coat comes in pleasing colors like lemon, red and white, and tricolor, requiring minimal grooming.
Beagles are characterized by their adorable faces, featuring big brown or hazel eyes and long, houndy ears set low on a broad head. Bred to hunt in packs, they are inherently amicable and easygoing, making them excellent companions. Their playful and energetic nature requires plenty of playtime and mental stimulation to keep them happy.
Despite their moderate family affection level, Beagles are incredibly child-friendly and sociable with other dogs, adding to their appeal as a family pet. Their popularity is well-deserved, as these merry, loving, and clever hounds bring joy and companionship to countless households.",5,15,25,13,FALSE,2,3,1,"Straight","Smooth",1,FALSE,3,5,5,3,4,2,4,4,3,2,4,4,3,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/beagle/large/studio.png"
"10","success","bulldog","Bulldog","Companion","Friendly, Brave, Relaxed","The Bulldog: serene, amicable, and brave, with a distinctive appearance and loyal companionship.","The Bulldog is a serene and amicable companion known for its courage and distinct, unmistakable appearance. Standing about 15 inches tall and weighing around 45 pounds, Bulldogs have a thick-set, low-slung build with well-defined muscles.
Their unique features include loose skin on the head, a furrowed brow, a pushed-in nose, small ears, an undershot jaw with hanging chops, and a distinctive rolling gait. Their coat is short, smooth, and glossy, coming in various colors and patterns.
These loyal and docile companions adapt well to both town and country life. Bulldogs are affectionate with their families, rating 4 out of 5 in family affection level, and they get along well with strangers, scoring 4 out of 5 in friendliness. They are moderately protective and adaptable, with both traits scoring 3 out of 5.
Bulldogs enjoy moderate exercise, such as brisk walks, but also love to curl up in your lap. Due to their short snouts, they require a cool environment during hot weather to avoid breathing difficulties.
Despite their easygoing nature, Bulldogs are not lazy and need regular activity and a balanced diet to maintain their health. Their playful demeanor and dignified presence make them popular companions, scoring 5 out of 5 in popularity.
With moderate grooming needs and an average shedding level, Bulldogs are relatively easy to care for, making them an excellent choice for those seeking a loving and steadfast canine friend.",5,15,45,9,FALSE,2,1,3,"Straight","Smooth",1,FALSE,4,3,3,4,4,3,3,2,3,3,3,3,2,"https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/small/indoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/small/outdoors.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/small/studio.jpg","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/large/indoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/large/outdoors.png","https://raw.githubusercontent.com/chase-manning/open-dog-registry/main/images/bulldog/large/studio.png"
